EquationKey,EquationChapter,Equation,Equation-Description,Taxonomy-Domain,Taxonomy-Subdomain,Taxonomy-Specific,Variable_Key,Variable_Name,Variable_LaTeX,Variables_Description_LaTeX,Variables_Domain,Variables_Domain_LaTeX
Feynman2,FeynmanICh6Eq20,I.6.2,Gaussian/normal distribution probability density,Mathematics,Probability Theory,Gaussian Distribution,x0,theta,$\theta$,$\theta$: variable,"\theta \in [-10.0, -0.1] \cup [0.1, 10.0]","$\theta \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman2,FeynmanICh6Eq20,I.6.2,Gaussian/normal distribution probability density,Mathematics,Probability Theory,Gaussian Distribution,x1,sigma,$\sigma$,$\sigma$: std deviation,"\sigma \in [0.1, 10.0]","$\sigma \in [0.1, 10.0]$"
Feynman1,FeynmanICh6Eq20a,I.6.2a,Gaussian distribution (normal distribution with $\sigma=1$),Mathematics,Probability Theory,Gaussian Distribution,x0,theta,$\theta$,$\theta$: angle/position,"\theta \in [-10.0, -0.1] \cup [0.1, 10.0]","$\theta \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman3,FeynmanICh6Eq20b,I.6.2b,Gaussian distribution with mean $\theta_1$,Mathematics,Probability Theory,Gaussian Distribution,x0,theta,$\theta$,$\theta$: variable,"\theta \in [-10.0, -0.1] \cup [0.1, 10.0]","$\theta \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman3,FeynmanICh6Eq20b,I.6.2b,Gaussian distribution with mean $\theta_1$,Mathematics,Probability Theory,Gaussian Distribution,x1,theta1,$\theta_1$,$\theta_1$: mean,"\theta_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$\theta_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman3,FeynmanICh6Eq20b,I.6.2b,Gaussian distribution with mean $\theta_1$,Mathematics,Probability Theory,Gaussian Distribution,x2,sigma,$\sigma$,$\sigma$: std deviation,"\sigma \in [0.1, 10.0]","$\sigma \in [0.1, 10.0]$"
Feynman4,FeynmanICh8Eq14,I.8.14,Euclidean distance between two points in 2D,Mathematics,Geometry,Euclidean Distance,x0,x2,$x_2$,$x_2$: x-coordinate of point 2,"x_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$x_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman4,FeynmanICh8Eq14,I.8.14,Euclidean distance between two points in 2D,Mathematics,Geometry,Euclidean Distance,x1,x1,$x_1$,$x_1$: x-coordinate of point 1,"x_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$x_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman4,FeynmanICh8Eq14,I.8.14,Euclidean distance between two points in 2D,Mathematics,Geometry,Euclidean Distance,x2,y2,$y_2$,$y_2$: y-coordinate of point 2,"y_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$y_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman4,FeynmanICh8Eq14,I.8.14,Euclidean distance between two points in 2D,Mathematics,Geometry,Euclidean Distance,x3,y1,$y_1$,$y_1$: y-coordinate of point 1,"y_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$y_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x0,m1,$m_1$,$m_1$: mass of body 1,"m_1 \in [0.1, 10.0]","$m_1 \in [0.1, 10.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x1,m2,$m_2$,$m_2$: mass of body 2,"m_2 \in [0.1, 10.0]","$m_2 \in [0.1, 10.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x2,x2,$x_2$,$x_2$: x-coordinate of body 2,"x_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$x_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x3,x1,$x_1$,$x_1$: x-coordinate of body 1,"x_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$x_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
