Equation_Name;Equation;Equation-Description;Taxonomy-Domain;Taxonomy-Subdomain;Taxonomy-Specific;SRSD Hard
FeynmanICh6Eq20a;I.6.2a;Gaussian distribution (normal distribution with $\sigma=1$);Mathematics;Probability Theory;Gaussian Distribution;x
FeynmanICh6Eq20;I.6.2;Gaussian/normal distribution probability density;Mathematics;Probability Theory;Gaussian Distribution;x
FeynmanICh6Eq20b;I.6.2b;Gaussian distribution with mean $\theta_1$;Mathematics;Probability Theory;Gaussian Distribution;x
FeynmanICh8Eq14;I.8.14;Euclidean distance between two points in 2D;Mathematics;Geometry;Euclidean Distance;
FeynmanICh9Eq18;I.9.18;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;x
FeynmanICh10Eq7;I.10.7;Relativistic mass (special relativity);Physics;Relativity;Special Relativity;
FeynmanICh11Eq19;I.11.19;Dot product of two 3D vectors;Mathematics;Linear Algebra;Vector Operations;
FeynmanICh12Eq1;I.12.1;Total magnetic moment (dipole moment);Physics;Electromagnetism;Magnetic Dipole;
FeynmanICh12Eq2;I.12.2;Coulomb's law (electrostatic force);Physics;Electromagnetism;Electrostatics;
FeynmanICh12Eq4;I.12.4;Electric field magnitude from point charge;Physics;Electromagnetism;Electric Field;
FeynmanICh12Eq5;I.12.5;Electric force on charge in field;Physics;Electromagnetism;Electric Force;
FeynmanICh12Eq11;I.12.11;Lorentz force (combined electric and magnetic);Physics;Electromagnetism;Lorentz Force;
FeynmanICh13Eq4;I.13.4;Kinetic energy in 3D;Physics;Classical Mechanics;Kinetic Energy;
FeynmanICh13Eq12;I.13.12;Gravitational potential energy difference;Physics;Classical Mechanics;Gravitational Potential;
FeynmanICh14Eq3;I.14.3;Gravitational potential energy;Physics;Classical Mechanics;Gravitational Potential;
FeynmanICh14Eq4;I.14.4;Elastic potential energy (Hooke's law);Physics;Classical Mechanics;Elastic Energy;
FeynmanICh15Eq10;I.15.1;Relativistic momentum;Physics;Relativity;Special Relativity;
FeynmanICh15Eq3t;I.15.3t;Lorentz transformation for time (special relativity);Physics;Relativity;Lorentz Transformation;x
FeynmanICh15Eq3x;I.15.3x;Lorentz transformation for position (special relativity);Physics;Relativity;Lorentz Transformation;x
FeynmanICh16Eq6;I.16.6;Relativistic velocity addition;Physics;Relativity;Velocity Addition;
FeynmanICh18Eq4;I.18.4;Center of mass position;Physics;Classical Mechanics;Center of Mass;
FeynmanICh18Eq12;I.18.12;Torque (moment of force);Physics;Classical Mechanics;Rotational Dynamics;
FeynmanICh18Eq16;I.18.16;Angular momentum;Physics;Classical Mechanics;Angular Momentum;
FeynmanICh24Eq6;I.24.6;Energy of forced harmonic oscillator;Physics;Classical Mechanics;Harmonic Oscillator;
